,n,Relations,FCY Result
287,27,"[[12, 14]]","(True, 28)"
288,27,"[[13, 15]]","(True, 28)"
289,27,"[[14, 16]]","(True, 28)"
290,27,"[[15, 17]]","(True, 28)"
291,27,"[[16, 18]]","(True, 28)"
292,27,"[[17, 19]]","(True, 28)"
293,27,"[[18, 20]]","(True, 28)"
294,27,"[[19, 21]]","(True, 28)"
295,27,"[[20, 22]]","(True, 28)"
296,27,"[[21, 23]]","(True, 28)"
297,27,"[[22, 24]]","(True, 28)"
298,27,"[[23, 25]]","(True, 28)"
299,27,"[[24, 26]]","(True, 28)"
300,28,"[[1, 3]]","(True, 29)"
301,28,"[[2, 4]]","(True, 29)"
302,28,"[[3, 5]]","(True, 29)"
303,28,"[[4, 6]]","(True, 29)"
304,28,"[[5, 7]]","(True, 29)"
305,28,"[[6, 8]]","(True, 29)"
306,28,"[[7, 9]]","(True, 29)"
307,28,"[[8, 10]]","(True, 29)"
308,28,"[[9, 11]]","(True, 29)"
309,28,"[[10, 12]]","(True, 29)"
310,28,"[[11, 13]]","(True, 29)"
311,28,"[[12, 14]]","(True, 29)"
312,28,"[[13, 15]]","(True, 29)"
313,28,"[[14, 16]]","(True, 29)"
314,28,"[[15, 17]]","(True, 29)"
315,28,"[[16, 18]]","(True, 29)"
316,28,"[[17, 19]]","(True, 29)"
317,28,"[[18, 20]]","(True, 29)"
318,28,"[[19, 21]]","(True, 29)"
319,28,"[[20, 22]]","(True, 29)"
320,28,"[[21, 23]]","(True, 29)"
321,28,"[[22, 24]]","(True, 29)"
322,28,"[[23, 25]]","(True, 29)"
323,28,"[[24, 26]]","(True, 29)"
324,28,"[[25, 27]]","(True, 29)"
325,29,"[[1, 3]]","(True, 30)"
326,29,"[[2, 4]]","(True, 30)"
327,29,"[[3, 5]]","(True, 30)"
328,29,"[[4, 6]]","(True, 30)"
329,29,"[[5, 7]]","(True, 30)"
330,29,"[[6, 8]]","(True, 30)"
331,29,"[[7, 9]]","(True, 30)"
332,29,"[[8, 10]]","(True, 30)"
333,29,"[[9, 11]]","(True, 30)"
334,29,"[[10, 12]]","(True, 30)"
335,29,"[[11, 13]]","(True, 30)"
336,29,"[[12, 14]]","(True, 30)"
337,29,"[[13, 15]]","(True, 30)"
338,29,"[[14, 16]]","(True, 30)"
339,29,"[[15, 17]]","(True, 30)"
340,29,"[[16, 18]]","(True, 30)"
341,29,"[[17, 19]]","(True, 30)"
342,29,"[[18, 20]]","(True, 30)"
343,29,"[[19, 21]]","(True, 30)"
344,29,"[[20, 22]]","(True, 30)"
345,29,"[[21, 23]]","(True, 30)"
346,29,"[[22, 24]]","(True, 30)"
347,29,"[[23, 25]]","(True, 30)"
348,29,"[[24, 26]]","(True, 30)"
349,29,"[[25, 27]]","(True, 30)"
350,29,"[[26, 28]]","(True, 30)"
351,30,"[[1, 3]]","(True, 31)"
352,30,"[[2, 4]]","(True, 31)"
353,30,"[[3, 5]]","(True, 31)"
354,30,"[[4, 6]]","(True, 31)"
355,30,"[[5, 7]]","(True, 31)"
356,30,"[[6, 8]]","(True, 31)"
357,30,"[[7, 9]]","(True, 31)"
358,30,"[[8, 10]]","(True, 31)"
359,30,"[[9, 11]]","(True, 31)"
360,30,"[[10, 12]]","(True, 31)"
361,30,"[[11, 13]]","(True, 31)"
362,30,"[[12, 14]]","(True, 31)"
363,30,"[[13, 15]]","(True, 31)"
364,30,"[[14, 16]]","(True, 31)"
365,30,"[[15, 17]]","(True, 31)"
366,30,"[[16, 18]]","(True, 31)"
367,30,"[[17, 19]]","(True, 31)"
368,30,"[[18, 20]]","(True, 31)"
369,30,"[[19, 21]]","(True, 31)"
370,30,"[[20, 22]]","(True, 31)"
371,30,"[[21, 23]]","(True, 31)"
372,30,"[[22, 24]]","(True, 31)"
373,30,"[[23, 25]]","(True, 31)"
374,30,"[[24, 26]]","(True, 31)"
375,30,"[[25, 27]]","(True, 31)"
376,30,"[[26, 28]]","(True, 31)"
377,30,"[[27, 29]]","(True, 31)"
378,31,"[[1, 3]]","(True, 32)"
379,31,"[[2, 4]]","(True, 32)"
380,31,"[[3, 5]]","(True, 32)"
381,31,"[[4, 6]]","(True, 32)"
382,31,"[[5, 7]]","(True, 32)"
383,31,"[[6, 8]]","(True, 32)"
384,31,"[[7, 9]]","(True, 32)"
385,31,"[[8, 10]]","(True, 32)"
386,31,"[[9, 11]]","(True, 32)"
387,31,"[[10, 12]]","(True, 32)"
388,31,"[[11, 13]]","(True, 32)"
389,31,"[[12, 14]]","(True, 32)"
390,31,"[[13, 15]]","(True, 32)"
391,31,"[[14, 16]]","(True, 32)"
392,31,"[[15, 17]]","(True, 32)"
393,31,"[[16, 18]]","(True, 32)"
394,31,"[[17, 19]]","(True, 32)"
395,31,"[[18, 20]]","(True, 32)"
396,31,"[[19, 21]]","(True, 32)"
397,31,"[[20, 22]]","(True, 32)"
398,31,"[[21, 23]]","(True, 32)"
399,31,"[[22, 24]]","(True, 32)"
400,31,"[[23, 25]]","(True, 32)"
401,31,"[[24, 26]]","(True, 32)"
402,31,"[[25, 27]]","(True, 32)"
403,31,"[[26, 28]]","(True, 32)"
404,31,"[[27, 29]]","(True, 32)"
405,31,"[[28, 30]]","(True, 32)"
406,32,"[[1, 3]]","(True, 33)"
407,32,"[[2, 4]]","(True, 33)"
408,32,"[[3, 5]]","(True, 33)"
409,32,"[[4, 6]]","(True, 33)"
410,32,"[[5, 7]]","(True, 33)"
411,32,"[[6, 8]]","(True, 33)"
412,32,"[[7, 9]]","(True, 33)"
413,32,"[[8, 10]]","(True, 33)"
414,32,"[[9, 11]]","(True, 33)"
415,32,"[[10, 12]]","(True, 33)"
416,32,"[[11, 13]]","(True, 33)"
417,32,"[[12, 14]]","(True, 33)"
418,32,"[[13, 15]]","(True, 33)"
419,32,"[[14, 16]]","(True, 33)"
420,32,"[[15, 17]]","(True, 33)"
421,32,"[[16, 18]]","(True, 33)"
422,32,"[[17, 19]]","(True, 33)"
423,32,"[[18, 20]]","(True, 33)"
424,32,"[[19, 21]]","(True, 33)"
425,32,"[[20, 22]]","(True, 33)"
426,32,"[[21, 23]]","(True, 33)"
427,32,"[[22, 24]]","(True, 33)"
428,32,"[[23, 25]]","(True, 33)"
429,32,"[[24, 26]]","(True, 33)"
430,32,"[[25, 27]]","(True, 33)"
431,32,"[[26, 28]]","(True, 33)"
432,32,"[[27, 29]]","(True, 33)"
433,32,"[[28, 30]]","(True, 33)"
434,32,"[[29, 31]]","(True, 33)"
435,33,"[[1, 3]]","(True, 34)"
436,33,"[[2, 4]]","(True, 34)"
437,33,"[[3, 5]]","(True, 34)"
438,33,"[[4, 6]]","(True, 34)"
439,33,"[[5, 7]]","(True, 34)"
440,33,"[[6, 8]]","(True, 34)"
441,33,"[[7, 9]]","(True, 34)"
442,33,"[[8, 10]]","(True, 34)"
443,33,"[[9, 11]]","(True, 34)"
444,33,"[[10, 12]]","(True, 34)"
445,33,"[[11, 13]]","(True, 34)"
446,33,"[[12, 14]]","(True, 34)"
447,33,"[[13, 15]]","(True, 34)"
448,33,"[[14, 16]]","(True, 34)"
449,33,"[[15, 17]]","(True, 34)"
450,33,"[[16, 18]]","(True, 34)"
451,33,"[[17, 19]]","(True, 34)"
452,33,"[[18, 20]]","(True, 34)"
453,33,"[[19, 21]]","(True, 34)"
454,33,"[[20, 22]]","(True, 34)"
455,33,"[[21, 23]]","(True, 34)"
456,33,"[[22, 24]]","(True, 34)"
457,33,"[[23, 25]]","(True, 34)"
458,33,"[[24, 26]]","(True, 34)"
459,33,"[[25, 27]]","(True, 34)"
460,33,"[[26, 28]]","(True, 34)"
461,33,"[[27, 29]]","(True, 34)"
462,33,"[[28, 30]]","(True, 34)"
463,33,"[[29, 31]]","(True, 34)"
464,33,"[[30, 32]]","(True, 34)"
465,34,"[[1, 3]]","(True, 35)"
466,34,"[[2, 4]]","(True, 35)"
467,34,"[[3, 5]]","(True, 35)"
468,34,"[[4, 6]]","(True, 35)"
469,34,"[[5, 7]]","(True, 35)"
470,34,"[[6, 8]]","(True, 35)"
471,34,"[[7, 9]]","(True, 35)"
472,34,"[[8, 10]]","(True, 35)"
473,34,"[[9, 11]]","(True, 35)"
474,34,"[[10, 12]]","(True, 35)"
475,34,"[[11, 13]]","(True, 35)"
476,34,"[[12, 14]]","(True, 35)"
477,34,"[[13, 15]]","(True, 35)"
478,34,"[[14, 16]]","(True, 35)"
479,34,"[[15, 17]]","(True, 35)"
480,34,"[[16, 18]]","(True, 35)"
481,34,"[[17, 19]]","(True, 35)"
482,34,"[[18, 20]]","(True, 35)"
483,34,"[[19, 21]]","(True, 35)"
484,34,"[[20, 22]]","(True, 35)"
485,34,"[[21, 23]]","(True, 35)"
486,34,"[[22, 24]]","(True, 35)"
487,34,"[[23, 25]]","(True, 35)"
488,34,"[[24, 26]]","(True, 35)"
489,34,"[[25, 27]]","(True, 35)"
490,34,"[[26, 28]]","(True, 35)"
491,34,"[[27, 29]]","(True, 35)"
492,34,"[[28, 30]]","(True, 35)"
493,34,"[[29, 31]]","(True, 35)"
494,34,"[[30, 32]]","(True, 35)"
495,34,"[[31, 33]]","(True, 35)"
496,35,"[[1, 3]]","(True, 36)"
497,35,"[[2, 4]]","(True, 36)"
498,35,"[[3, 5]]","(True, 36)"
499,35,"[[4, 6]]","(True, 36)"
500,35,"[[5, 7]]","(True, 36)"
501,35,"[[6, 8]]","(True, 36)"
502,35,"[[7, 9]]","(True, 36)"
503,35,"[[8, 10]]","(True, 36)"
504,35,"[[9, 11]]","(True, 36)"
505,35,"[[10, 12]]","(True, 36)"
506,35,"[[11, 13]]","(True, 36)"
