,n,Relations,FCY Result
402,408,"[[1, 4], [3, 6]]","(False, 100)"
403,409,"[[1, 4], [3, 6]]","(False, 100)"
404,410,"[[1, 4], [3, 6]]","(False, 100)"
405,411,"[[1, 4], [3, 6]]","(False, 100)"
406,412,"[[1, 4], [3, 6]]","(False, 100)"
407,413,"[[1, 4], [3, 6]]","(False, 100)"
408,414,"[[1, 4], [3, 6]]","(False, 100)"
409,415,"[[1, 4], [3, 6]]","(False, 100)"
410,416,"[[1, 4], [3, 6]]","(False, 100)"
411,417,"[[1, 4], [3, 6]]","(False, 100)"
412,418,"[[1, 4], [3, 6]]","(False, 100)"
413,419,"[[1, 4], [3, 6]]","(False, 100)"
414,420,"[[1, 4], [3, 6]]","(False, 100)"
415,421,"[[1, 4], [3, 6]]","(False, 100)"
416,422,"[[1, 4], [3, 6]]","(False, 100)"
417,423,"[[1, 4], [3, 6]]","(False, 100)"
418,424,"[[1, 4], [3, 6]]","(False, 100)"
419,425,"[[1, 4], [3, 6]]","(False, 100)"
420,426,"[[1, 4], [3, 6]]","(False, 100)"
421,427,"[[1, 4], [3, 6]]","(False, 100)"
422,428,"[[1, 4], [3, 6]]","(False, 100)"
423,429,"[[1, 4], [3, 6]]","(False, 100)"
424,430,"[[1, 4], [3, 6]]","(False, 100)"
425,431,"[[1, 4], [3, 6]]","(False, 100)"
426,432,"[[1, 4], [3, 6]]","(False, 100)"
427,433,"[[1, 4], [3, 6]]","(False, 100)"
428,434,"[[1, 4], [3, 6]]","(False, 100)"
429,435,"[[1, 4], [3, 6]]","(False, 100)"
430,436,"[[1, 4], [3, 6]]","(False, 100)"
431,437,"[[1, 4], [3, 6]]","(False, 100)"
432,438,"[[1, 4], [3, 6]]","(False, 100)"
433,439,"[[1, 4], [3, 6]]","(False, 100)"
434,440,"[[1, 4], [3, 6]]","(False, 100)"
435,441,"[[1, 4], [3, 6]]","(False, 100)"
436,442,"[[1, 4], [3, 6]]","(False, 100)"
437,443,"[[1, 4], [3, 6]]","(False, 100)"
438,444,"[[1, 4], [3, 6]]","(False, 100)"
439,445,"[[1, 4], [3, 6]]","(False, 100)"
440,446,"[[1, 4], [3, 6]]","(False, 100)"
441,447,"[[1, 4], [3, 6]]","(False, 100)"
442,448,"[[1, 4], [3, 6]]","(False, 100)"
443,449,"[[1, 4], [3, 6]]","(False, 100)"
444,450,"[[1, 4], [3, 6]]","(False, 100)"
445,451,"[[1, 4], [3, 6]]","(False, 100)"
446,452,"[[1, 4], [3, 6]]","(False, 100)"
447,453,"[[1, 4], [3, 6]]","(False, 100)"
448,454,"[[1, 4], [3, 6]]","(False, 100)"
449,455,"[[1, 4], [3, 6]]","(False, 100)"
450,456,"[[1, 4], [3, 6]]","(False, 100)"
451,457,"[[1, 4], [3, 6]]","(False, 100)"
452,458,"[[1, 4], [3, 6]]","(False, 100)"
453,459,"[[1, 4], [3, 6]]","(False, 100)"
454,460,"[[1, 4], [3, 6]]","(False, 100)"
455,461,"[[1, 4], [3, 6]]","(False, 100)"
456,462,"[[1, 4], [3, 6]]","(False, 100)"
457,463,"[[1, 4], [3, 6]]","(False, 100)"
458,464,"[[1, 4], [3, 6]]","(False, 100)"
459,465,"[[1, 4], [3, 6]]","(False, 100)"
460,466,"[[1, 4], [3, 6]]","(False, 100)"
461,467,"[[1, 4], [3, 6]]","(False, 100)"
462,468,"[[1, 4], [3, 6]]","(False, 100)"
463,469,"[[1, 4], [3, 6]]","(False, 100)"
464,470,"[[1, 4], [3, 6]]","(False, 100)"
465,471,"[[1, 4], [3, 6]]","(False, 100)"
466,472,"[[1, 4], [3, 6]]","(False, 100)"
467,473,"[[1, 4], [3, 6]]","(False, 100)"
468,474,"[[1, 4], [3, 6]]","(False, 100)"
469,475,"[[1, 4], [3, 6]]","(False, 100)"
470,476,"[[1, 4], [3, 6]]","(False, 100)"
471,477,"[[1, 4], [3, 6]]","(False, 100)"
472,478,"[[1, 4], [3, 6]]","(False, 100)"
473,479,"[[1, 4], [3, 6]]","(False, 100)"
474,480,"[[1, 4], [3, 6]]","(False, 100)"
475,481,"[[1, 4], [3, 6]]","(False, 100)"
476,482,"[[1, 4], [3, 6]]","(False, 100)"
477,483,"[[1, 4], [3, 6]]","(False, 100)"
478,484,"[[1, 4], [3, 6]]","(False, 100)"
479,485,"[[1, 4], [3, 6]]","(False, 100)"
480,486,"[[1, 4], [3, 6]]","(False, 100)"
481,487,"[[1, 4], [3, 6]]","(False, 100)"
482,488,"[[1, 4], [3, 6]]","(False, 100)"
483,489,"[[1, 4], [3, 6]]","(False, 100)"
484,490,"[[1, 4], [3, 6]]","(False, 100)"
485,491,"[[1, 4], [3, 6]]","(False, 100)"
486,492,"[[1, 4], [3, 6]]","(False, 100)"
487,493,"[[1, 4], [3, 6]]","(False, 100)"
488,494,"[[1, 4], [3, 6]]","(False, 100)"
489,495,"[[1, 4], [3, 6]]","(False, 100)"
490,496,"[[1, 4], [3, 6]]","(False, 100)"
491,497,"[[1, 4], [3, 6]]","(False, 100)"
492,498,"[[1, 4], [3, 6]]","(False, 100)"
493,499,"[[1, 4], [3, 6]]","(False, 100)"
